"Year","Month","Day","End Year","End Month","End Day","Headline","Headline Arabic","Text","Text Arabic","Agreement","Stage","Event"
1990,5,22,1990,5,22,"Unification of North (Yemen Arab Republic) and South (People's Democratic Republic of Yemen)","اتحاد الجمهورية العربية اليمنية (شمال اليمن) و جمهورية اليمن الديمقراطية الشعبية (جنوب اليمن)","North and South Yemen merge to form the Republic of Yemen. The General People's Congress led by President Ali Abdullah Saleh in the north, and the Yemeni Socialist Party led by Ali Salim al-Beidh in the South, agree to share power https://www.peaceagreements.org/masterdocument/264","دمج شمال اليمن وجنوبه لتشكيل الجمهورية اليمنية. وافق المؤتمر الشعبي العام بقيادة الرئيس علي عبد الله صالح في الشمال والحزب الاشتراكي اليمني برئاسة علي سالم البيض في الجنوب على المشاركة في السلطة_x000D_https://www.peaceagreements.org/masterdocument/264_x000D_","national","Substantive-Partial",
1990,9,1,1990,9,1,"Creation of 'al-Islah' Party (Yemeni Congregation for Reform)","إنشاء حزب الإصلاح","September: The Islah Party is founded by a loose coalition of northern Islamist and tribal elites and support from Saudi Arabia. The party consists of three wings related to elements from the Muslim Brotherhood, the Hashid Tribal Federation, and Sunni Islamists. ","سبتمبر: تم تأسيس حزب التجمع اليمني للإصلاح وهو مكون من ائتلاف واسع من النخب الإسلامية الشمالية ونخب من القبائل بدعم من المملكة العربية السعودية. يتألف الحزب من ثلاثة أجنحة وهي عناصر من الإخوان المسلمين وقبائل حاشد والسلفيين.","national","Ceasefire",
1993,4,27,1993,4,27,"First parliamentary elections in unified Yemen","أول انتخابات برلمانية في اليمن الموحد","Yemen held elections for parliament won by the GPC followed by al-Islah. The results disrupt the previous 50-50 power sharing agreement between the North and South. Islah's Abdullah bin Hussayn al-Ahmar becomes speaker of the Parliament.","جرت في اليمن انتخابات برلمانية فاز بها المؤتمر الشعبي العام و بالاغلبیة ثم الاصلاح. الانتخابات عطلت اتفاق المشاركة السابق الذي اعطى 50% للشمال و50% للجنوب. علي عبد الله صالح أصبح رئيساً وعين علي سالم البيض نائباً للرئيس وأصبح عبد الله بن حسين الأحمر من قادة الاصلاح رئيساً لمجلس النواب.",,,"conflict"
1993,8,1,1993,8,1,"Vice President al-Beidh leaves the capital, Sanaa, in protest","نائب الرئيس البيض ينسحب من العاصمة صنعاء احتجاجا","August: al-Beidh withdraws to Aden protesting political marginalization and violence by northerners directed towards the YSP.","أغسطس: انسحاب البيض إلى عدن احتجاجًا على التهميش السياسي والعنف من قبل الشماليين ضد الحزب الاشتراكي اليمني.",,,"political"
1994,1,18,1994,1,18,"The Document of Pledge and Accord: https://al-bab.com/document-pledge-and-accord-1994","وثيقة العهد و الاتفاق","The signing of the agreement in Jordan to settle the political crisis between Yemeni President  Saleh and his deputy Ali Salem al-Beidh","توقيع الاتفاقية في الأردن لتسوية الأزمة السياسية بين الرئيس اليمني علي عبد الله صالح ونائبه علي سالم البيض. https://al-bab.com/document-pledge-and-accord-1994","local","Substantive-Partial",
1994,4,27,1994,4,27,"North-south civil war begins","بداية الحرب الأهلية بين الشمال والجنوب","A tank battle breaks out in Amran, north of the capital Sanaa, marking the beginning of the 1994 civil war. President Ali Abdullah Saleh declares a state of emergency.","معركة دبابات تندلع في عمران، شمال العاصمة صنعاء، وتبدأ الحرب الأهلية عام 1994. يعلن الرئيس علي عبد الله صالح حالة الطوارئ.",,,"political"
1994,5,21,1994,5,21,"YSP officials declare the secession of the South","مسؤولون في الحزب الاشتراكي اليمني يعلنون انفصال الجنوب","The Democratic Republic of Yemen was not recognized by any other government. Southerners are supported by Saudi Arabia which deemed a united Yemen as a threat.","لم تعترف أي دولة اخرى بجمهورية اليمن الديمقراطية وقامت المملكة العربية السعودية التي تعتبر اليمن الموحد تهديدا بدعم الجنوبيين",,,"political"
1994,6,30,1994,6,30,"Agreement on a Ceasefire in the Republic of Yemen mediated by Moscoü","اتفاق لوقف إطلاق النار في الجمهورية اليمنية برعاية موسكو","English: A ceasefire is negotiated and Aden is captured shortly after (07/07/1994), ending the North-South Yemeni civil war. In its aftermath, the victors rewards loyalists with land and jobs resulting in the disenfranchisement of Southern civil and military officials https://www.peaceagreements.org/masterdocument/250","باللغة الإنجليزية:_x000D_https://www.peaceagreements.org/masterdocument/250_x000D_","local","Ceasefire",
1994,7,7,1994,7,7,"Aden captured by northern forces","السيطرة على عدن","Aden is captured and a ceasefire negotiated ending the North-South Yemeni civil war. In its aftermath, the victors rewards loyalists with land and jobs resulting in the disenfranchisement of Southern civil and military officials. https://www.peaceagreements.org/masterdocument/250","تم السيطرة على عدن والتفاوض لوقف إطلاق النار من أجل إنهاء الحرب الأهلية بين الشمال والجنوب. وفي أعقاب ذلك، يكافئ المنتصرون الموالين لهم بالأرض والوظائف مما يؤدي إلى حرمان المسؤولين المدنيين والعسكريين الجنوبيين من حقوقهم. https://www.peaceagreements.org/masterdocument/250_x000D__x000D_",,,"political"
1996,10,3,1996,10,3,"Beginning of an arbitration agreement between Yemen and Eritrea","بداية اتفاق التحكيم بين اليمن وإريتريا","Yemen and Eritrea enter a phase of arbitration from 1996-1998 to settle disputes over territorial islands","اليمن وإريتريا يدخلان مرحلة التحكيم من 1996-1998 لتسوية النزاعات على الجزر الإقليمية","local","Implementation",
1996,8,1,1996,8,1,"Creation of the Women National Committee: Ministries' Council through act No. 97 in August 1996","إنشاء اللجنة الوطنية للمرأة: قرار مجلس الوزراء رقم 97 اغسطس 1996","A government-affiliated body working to empower women based on the outcomes of the Beijing Conference in 1995 and CEDAW convention to safeguard women’s inclusion and rights. Augmented to the Women's Supreme Council in 2000 to insure every governmental institution is inclusive of women. ","هي الهيئة الحكومية التي لديها الية العمل لتمكين المرأة. تم إنشاء هذه اللجنة في عام ١٩٩٦ و تضاف إلى المجلس الأعلى للمرأة في عام 2000 لضمان ضم المرأة في كل مؤسسة حكوميةلقرارات منهاج عمل بيجين )١٩٩٥ ،)وهي مسؤولة عن اإلبالغ عن تقدم اليمن المحرز على مسار اتفاقية ""سيداو""، والمطالبة بالتغييرات التشريعية والتنظيمية ","national","Implementation",
2000,6,12,2000,6,12,"Yemen and Saudi Arabia sign border agreement in Jeddah (Jeddah Treaty)","اليمن والسعودية يوقعان اتفاقية للحدود في جدة (اتفاقية جدة)","The agreement resolves the border issue https://www.peaceagreements.org/masterdocument/408","تحل الاتفاقية قضية الحدود https://www.peaceagreements.org/masterdocument/408","local","Implementation",
2000,10,4,2000,10,4,"Bombing of USS Cole","قصف السفينة الحربية الأمريكية كول","A US warship, the USS Cole, is attacked by AQAP in Aden, killing 17 US personnel.","سفينة حربية أمريكية ، يو إس إس كول ، تتعرض للهجوم من قبل القاعدة في خليج عدن ، مما أسفر عن مقتل 17 جندي أمريكي.",,,"conflict"
2001,2,1,2001,2,1,"Violence breaks out before referendum vote","ينفجر العنف قبل التصويت على الاستفتاء","February 2001: Violence breaks out before a referendum and municipal polls extending the term and powers of the presidential office.","فبراير 2001: اندلعت أعمال العنف قبل إجراء الاستفتاء والاستطلاعات البلدية لتمديد فترة وصلاحيات مكتب الرئاسة.",,,"conflict"
2007,7,7,2007,7,7,"Southern movement begins calling for independence","بداء الحراك الجنوبي لمطالبة الانفصال ","Began by peaceful calls to reinstate southern army personnel and to provide the same rights of marginalized southerners to their counterpart northerners","بدأ بكيان جمعية المتقاعدين العسكريين والأمنيين المسرحين من عملهم، وطالب الحراك الجنوبي النظام الحاكم بالمساوة وإعادة المسرحين العكسريين والمدنيين",,,"conflict"
2010,2,12,2010,2,12,"Six-Point Government of Yemen-Houthi Ceasefire Agreement","اتفاق من ست نقاط لوقف إطلاق النار بين الحكومة اليمنية والحوثي","English:  https://www.peaceagreements.org/masterdocument/1434","باللغة الإنجليزية:_x000D_https://www.peaceagreements.org/masterdocument/1434_x000D_","national","Ceasefire",
2004,6,1,2004,9,30,"First round of Sadah war","الجولة الأولى من حرب صعدة","June- September 2004: A police operation by the Yemeni government against Hussayn al-Houthi, a former Member of Parliament and a Zaydi youth activist, ignites the first round of fighting between the government and what becomes known as the Houthi  movement. On September 10, Hussayn al-Houthi is killed. His father, Badr al-Din al-Houthi takes over as head of the Houthi movement.","يونيو - سبتمبر 2004: عملية أمنية للحكومة اليمنية ضد حسين الحوثي، عضو سابق في البرلمان وناشط شبابي زيدي، يشعل الجولة الأولى من القتال بين الحكومة وما يعرف باسم حركة الحوثي. في 10 سبتمبر، قتل حسين الحوثي وتولى والده بدر الدين الحوثي رئاسة الحركة الحوثية.",,,"conflict"
2005,1,1,2005,1,1,"Creation of the JMP","إنشاء أحزاب اللقاء المشترك","2005: The Joint Meeting Parties (JMP) is established as a coalition opposition group to the GPC. The largest member of the JMP was Islah, followed by the YSP, and Popular Force, the Nasserist party, and al-Haqq (a Zaydi party).","2005: تم تأسيس أطراف اللقاء المشترك كمجموعة ائتلافية معارضة للمؤتمر الشعبي العام. أكبر عضو في أحزاب اللقاء المشترك هو الإصلاح ويليه الحزب الاشتراكي اليمني، والقوى الشعبية والحزب الناصري وحزب الحق   (حزب زيدي).",,,"political"
2005,3,1,2005,6,23,"Second round of  Sadaa war","الجولة الثانية من حرب صعدة","March-June 23, 2005: Second round of fighting breaks out between the Houthis and Yemeni government in which more than 200 are killed. Fighting ended after tribal mediators negotiated a deal.","مارس - 23 يونيو 2005: تفجرت الجولة الثانية من القتال بين الحوثيين والحكومة اليمنية حيث قتل أكثر من 200 شخص. انتهى القتال بعد أن تفاوض وسطاء قبليون على اتفاق.",,,"political"
2005,11,1,2006,3,31,"Third round of  Sadaa war","الجولة الثالثة من حرب صعدة","November 2005-March 2006: Third round of conflict breaks out between the Houthis and opposing tribes.","نوفمبر 2005 - مارس 2006: اندلاع الجولة الثالثة من النزاع بين الحوثيين والقبائل المعارضة.",,,"conflict"
2007,5,1,2007,5,1,"Protests in South Yemen mark emergence of Southern Movement","الاحتجاجات في الجنوب تمثل ظهور الحركة الجنوبية","May 2007: Former-Southern military and civil officials fired in the aftermath of the 1994 civil war protest their lack of employment, Southern political marginalization and other injustices. Heavy-handedness by security forces burgeons support for the protestors and consolidates what will eventually become the Southern Movement.","مايو 2007: مسؤولون عسكريون ومدنيون سابقون في الجنوب سرحوا في أعقاب الحرب الأهلية عام 1994 احتجوا على تسريحهم والتهميش السياسي للجنوب وغير ذلك من المظالم.  الرد القاسي من قبل قوات الأمن زاد الدعم للمتظاهرين وعزز ما سيصبح الحراك الجنوبي.",,,"conflict"
2007,1,28,2007,6,16,"Fourth round of  Sadaa war  begins ","الجولة الرابعة من حرب صعدة","January 28-June 16, 2007: Fourth round of conflict erupts after Houthi fighters attack Yemeni government outposts. ","28 يناير - 16 يونيو 2007: اندلاع الجولة الرابعة من النزاع بعد أن هاجم المقاتلون الحوثيون على نقاط للحكومة اليمنية._x000D_https://www.peaceagreements.org/masterdocument/1433_x000D_",,,"conflict"
2007,6,16,2007,6,16,"The document of controls and issues of dialogue","وثيقة قضايا وضوابط الحوار يونيو 2007","Secretaries-General of the political parties represented in the Yemeni parliament signed  a document defining issues controls and guarantees of dialogue ","وقعت الأحزاب المشاركة في البرلمان اتفاقية لتحديد قضايا الضوابط وضمانات الحوار","national","Ceasefire",
2008,2,1,2008,2,1,"Saada war ends with the Doha Agreement","انتهاء حرب صعدة باتفاقية الدوحة","Qatar mediates a ceasefire and Houthi leaders go into exile. _x000D__x000D_English: https://www.peaceagreements.org/masterdocument/1433_x000D_","توسطت قطر لوقف إطلاق النار _x000D_ويذهب زعماء الحوثي إلى المنفى_x000D__x000D_باللغة الإنجليزية:_x000D_https://www.peaceagreements.org/masterdocument/1433_x000D_","local","Ceasefire",
2008,4,29,2008,7,17,"Fifth round of Sadaa war","الجولة الخامسة من حرب صعدة","April 29-July 17, 2008: The fifth round of fighting between the Houthis and the Yemeni government in Sadaa begins.","من 29 أبريل إلى 17 يوليو 2008: بدء الجولة الخامسة من القتال في صعدة بين الحوثيين والحكومة اليمنية. ",,,"conflict"
2009,8,1,2009,8,1,"Sixth round of Sadaa war","الجولة السادسة من حرب صعدة","August 2009-February 2010: The Yemeni government launches an offensive against the Houthis, displacing tens of thousands. Saudi Arabia and the US intervene against the Houthis, and fighting spreads across the Saudi border.","أغسطس 2009 – فبراير 2010: شنت الحكومة اليمنية هجوماً ضد الحوثيين، مما أدى إلى تشريد عشرات الآلاف. تتدخل المملكة العربية السعودية والولايات المتحدة ضد الحوثيين، وينتشر القتال عبر الحدود مع السعودية.",,,"political"
2010,6,2,2010,6,2,"National Salvation Document","وثيقة الانقاذ الوطني","Provided solutions and plans to reform  the establishment of the state and its institutions, including finding solutios to the southern issue and address the causes of the war in Saada and other political crises. Signed by GPC, Islah, YSP, Nasserist, and Baathist parties.","قدمت الحلول والمعالجات لها و خطط الانتقال إلى تأسيس الدولة و مؤسساتها ، وتتضمن هذه المعالجات تحقيق الحل العادل للقضية الجنوبية ومعالجة أسباب حرب صعده وبقية الازمات. وقع عليها حزب المؤتمر، الاصلاح، الاشتراكي، الناصري و البعثي ","national","Ceasefire",
